coef,value
1,1384.7
2,-2038.2
3,527.77
4,662.17
5,1034.4
6,2558.8
7,-2146.9
8,239.98
9,-271.78
10,-165.42
11,762.7
12,-630.81
13,823.37
14,-846.2
15,368.76
16,222.46
17,-221.45
18,91.432
19,-56.718
20,-169.01
21,-87.575
22,217.6
23,-193.51
24,182.01
25,25.95
26,-63.155
27,-125.46
28,165.36
29,-28.021
30,-9.6616
31,14.162
32,21.187
33,8.4777
34,-8.8703
35,-1.3395
36,-4.1599
37,4.4821
38,-1.3173
39,-2.5297
40,-5.1123
41,-16.839
42,-3.4818
43,-7.4535
44,-8.8571
45,16.261
46,-3.9052
47,7.7533
48,6.0822
49,21.085
50,0.38266
51,-0.57629
52,-0.3128
53,4.4802
54,-7.3464
55,-2.5051
56,3.3469
57,-6.265
58,-12.185
59,0.97525
60,-1.9507
61,9.0973
62,2.2422
63,-2.8803
64,-3.7463
65,3.0128
66,-2.4274
67,3.5482
68,3.5077
69,-2.891
70,-6.7642
71,12.798
72,3.4906
73,4.7381
74,1.3208
75,-5.8712
76,4.2256
77,-1.3818
78,3.6166
79,-4.8963
80,1.571
81,-2.7829
82,2.2937
83,5.3863
84,-1.8218
85,6.1555
86,-0.036053
87,0.48919
88,0.46987
89,-6.8568
90,-3.1081
91,0.90207
92,5.6266
93,-8.6228
94,1.6675
95,-5.8745
96,-0.68597
97,2.6799
98,3.4442
99,5.0626
100,10.304
101,-5.6779
102,-5.7928
103,0.11741
104,-4.652
105,-2.4061
106,2.7529
107,2.7161
108,-5.2633
109,-2.6873
110,-4.8327
111,-9.6799
112,3.7362
113,-0.17548
114,8.081
115,4.0703
116,5.7114
117,-3.222
118,-5.6976
119,-7.3133
120,-0.52595
121,-4.1052
122,-0.14269
123,-11.69
124,0.27024
125,6.2668
126,4.2638
127,-9.243
128,3.1447
