coef,value
1,422.12
2,386.5
3,332.92
4,184.71
5,113.18
6,104.18
7,80.014
8,48.971
9,48.125
10,44.763
11,38.691
12,35.894
13,17.275
14,13.82
15,13.218
16,12.068
17,10.859
18,9.7662
19,6.4603
20,5.8104
21,5.1998
22,4.6169
23,4.6091
24,4.4984
25,4.486
26,4.3452
27,4.2278
28,4.1464
29,3.4806
30,3.3122
31,3.1396
32,3.1226
33,2.6526
34,2.5875
35,2.5419
36,2.4854
37,2.4464
38,2.1548
39,2.0763
40,1.7118
41,1.4706
42,1.2531
43,1.2055
44,1.1956
45,1.0743
46,0.92753
47,0.86536
48,0.8031
49,0.57326
50,0.57137
51,0.4011
52,0.3567
53,0.29167
54,0.22047
55,0.11721
56,0.03505
57,8.0389e-14
58,8.0389e-14
59,8.0389e-14
60,8.0389e-14
61,8.0389e-14
62,8.0389e-14
63,8.0389e-14
64,8.0389e-14
